
#Curve 0 of 3, 17095 points
#x y type
 34.5646  1  i
 34.5696  0.959401  i
 34.5746  0.918802  i
 34.5796  0.878203  i
 34.5846  0.864875  i
 34.5896  0.857504  i
 34.5946  0.843241  i
 34.5996  0.858632  i
 34.6046  0.88659  i
 34.6096  0.860842  i
 34.6146  0.818363  i
 34.6196  0.861168  i
 34.6246  0.848621  i
 34.6296  0.852526  i
 34.6346  0.914021  i
 34.6396  0.895779  i
 34.6446  0.912503  i
 34.6496  1.01336  i
 34.6546  1.02446  i
 34.6596  1.07174  i
 34.6646  1.06912  i
 34.6696  1.00845  i
 34.6746  0.965051  i
 34.6796  1.01546  i
 34.6846  1.16886  i
 34.6896  1.34679  i
 34.6946  1.3286  i
 34.6996  1.2823  i
 34.7046  1.24697  i
 34.7096  1.24599  i
 34.7146  1.26055  i
 34.7196  1.25578  i
 34.7246  1.28119  i
 34.7296  1.1935  i
 34.7346  1.30848  i
 34.7396  1.41325  i
 34.7446  1.41439  i
 34.7496  1.35873  i
 34.7546  1.33959  i
 34.7596  1.37311  i
 34.7646  1.34425  i
 34.7696  1.43167  i
 34.7746  1.45682  i
 34.7796  1.52279  i
 34.7846  1.57484  i
 34.7896  1.5845  i
 34.7946  1.57614  i
 34.7996  1.58147  i
 34.8046  1.57789  i
 34.8096  1.60722  i
 34.8146  1.56795  i
 34.8196  1.43181  i
 34.8246  1.44143  i
 34.8296  1.50142  i
 34.8346  1.51767  i
 34.8396  1.53143  i
 34.8446  1.56056  i
 34.8496  1.53302  i
 34.8546  1.58736  i
 34.8596  1.59006  i
 34.8646  1.61106  i
 34.8696  1.61393  i
 34.8746  1.55278  i
 34.8796  1.48362  i
 34.8846  1.54115  i
 34.8896  1.46438  i
 34.8946  1.42106  i
 34.8996  1.44159  i
 34.9046  1.46597  i
 34.9096  1.50136  i
 34.9146  1.51954  i
 34.9196  1.49756  i
 34.9246  1.498  i
 34.9296  1.50754  i
 34.9346  1.58796  i
 34.9396  1.5449  i
 34.9446  1.51355  i
 34.9496  1.5452  i
 34.9546  1.56776  i
 34.9596  1.52758  i
 34.9646  1.50664  i
 34.9696  1.50774  i
 34.9746  1.52828  i
 34.9796  1.5955  i
 34.9846  1.5629  i
 34.9896  1.61124  i
 34.9946  1.67022  i
 34.9996  1.59831  i
 35.0046  1.53538  i
 35.0096  1.66115  i
 35.0146  1.57071  i
 35.0196  1.55702  i
 35.0246  1.55468  i
 35.0296  1.56329  i
 35.0346  1.61734  i
 35.0396  1.66279  i
 35.0446  1.58707  i
 35.0496  1.60775  i
 35.0546  1.52885  i
 35.0596  1.53944  i
 35.0646  1.61393  i
 35.0696  1.68305  i
 35.0746  1.69149  i
 35.0796  1.65788  i
 35.0846  1.64281  i
 35.0896  1.578  i
 35.0946  1.47067  i
 35.0996  1.42283  i
 35.1046  1.40892  i
