3308.28	-13599	-929	13538	-175.24
3309.26	-13415	-1127	13556	-175.73
3310.22	-13796	-996	13934	-175.30
3311.60	-13839	-1284	13878	-174.70
3313.29	-13862	-1218	13876	-175.27
3314.58	-13611	-999	13521	-176.41
3316.15	-13424	-822	13476	-176.18
3317.67	-13557	-924	13712	-176.48
3319.06	-13925	-816	14044	-176.51
3320.92	-13878	-933	13706	-176.1
3322.26	-13548	-930	13582	-176.21
3323.82	-13609	-827	13721	-176.74
3325.45	-13886	-902	13961	-175.74
3326.81	-13780	-1072	13741	-175.22
3328.60	-13698	-1214	13776	-174.87
3330.02	-13744	-1193	13838	-175.34
3331.59	-13839	-1109	13846	-175.62
3333.19	-13768	-916	13845	-176.88
3334.59	-13873	-772	13807	-176.13
3336.82	-13621	-1018	13651	-175.54
3338.43	-13699	-1095	13805	-176.18
3339.80	-13787	-694	13751	-177.41
3341.44	-13733	-697	13830	-176.97
3342.83	-13814	-727	13678	-177.0
3344.39	-13535	-765	13639	-175.87
3346.19	-13748	-1212	13806	-174.86
3347.60	-13719	-1110	13792	-175.91
3349.27	-13765	-941	13682	-176.19
3350.67	-13442	-819	13401	-176.84
3352.24	-13369	-725	13474	-176.89
3354.17	-13699	-771	13784	-176.42
3355.57	-13453	-894	13184	-175.94
3357.23	-13061	-1041	13214	-174.91
3358.84	-13389	-1157	13543	-175.43
3360.23	-13534	-1018	13605	-175.78
3362.02	-13645	-1061	13696	-175.25
3363.45	-13545	-1113	13524	-175.90
3365.08	-13498	-836	13538	-176.40
3366.75	-13570	-961	13692	-175.63
3368.18	-13683	-1068	13634	-176.14
3370.24	-13436	-766	13352	-176.63
3371.68	-13189	-885	13224	-176.42
3373.30	-13229	-788	13275	-175.85
3374.89	-13364	-1091	13473	-176.10
3376.34	-13381	-683	13298	-177.20
3378.15	-13391	-817	13622	-175.71
3379.79	-13745	-1081	13822	-175.88
3381.22	-13764	-909	13740	-176.25
3382.88	-13554	-908	13370	-176.38
3384.29	-13178	-777	13242	-176.53
3385.93	-13425	-883	13384	-176.23
3387.81	-13094	-810	13061	-176.39
3389.24	-13110	-918	13233	-175.65
3390.89	-13321	-1033	13483	-175.44
3392.34	-13555	-1107	13512	-175.17
3393.95	-13263	-1192	13261	-175.5
3395.77	-13371	-1006	13565	-175.77
3397.22	-13545	-1069	13449	-175.74
3398.86	-13364	-896	13502	-176.25
3400.62	-13610	-914	13628	-176.21
3401.98	-13598	-887	13694	-176.16
3404.28	-13724	-1049	13782	-174.88
3405.72	-13766	-1284	13821	-174.97
3407.23	-13653	-1016	13577	-176.67
3408.91	-13490	-825	13546	-175.35
3410.32	-13526	-1278	13511	-174.44
3412.14	-13236	-1243	13145	-174.95
3413.77	-12989	-1118	13047	-174.96
3415.21	-13149	-1139	13426	-175.53
3416.88	-13724	-1032	13838	-175.55
3418.33	-13672	-1123	13702	-175.19
3420.27	-13749	-1119	13819	-175.50
3421.85	-13766	-1117	13794	-175.72
3423.34	-13630	-827	13487	-176.80
3424.93	-13367	-895	13513	-175.50
3426.40	-13651	-1096	13693	-175.42
3427.98	-13546	-1169	13515	-174.61
3429.88	-13311	-1259	13263	-175.42
3431.36	-13154	-911	13152	-176.2
3433.08	-13286	-902	13681	-176.56
3434.84	-13748	-920	13468	-175.21
3436.35	-12875	-1222	12529	-174.41
3438.39	-11777	-1095	10680	-174.0
3439.96	-7628	-1031	4059	-137.23
3441.56	-711	-1245	5739	-174.95
3443.20	-21080	-791	27650	-178.53
3444.65	-26195	-772	22367	-177.67
3446.51	-18053	-952	16297	-176.9
3447.90	-15156	-1032	14814	-176.69
3449.54	-14408	-747	14179	-177.7
3451.21	-14003	-661	14135	-177.13
3452.70	-14298	-893	14271	-175.94
3454.58	-14175	-1094	14390	-175.25
3456.25	-14557	-1214	14506	-175.20
3457.68	-14175	-1227	14048	-175.41
3459.37	-13830	-877	13747	-176.83
3460.85	-13631	-891	13884	-175.81
3462.65	-14051	-1030	13989	-175.76
3464.30	-13815	-1083	13886	-175.44
3465.79	-13876	-1133	13771	-174.91
3467.44	-13483	-1160	13641	-176.4
3468.92	-14107	-827	14377	-176.62
3470.51	-14418	-906	14321	-176.38
3472.74	-13954	-890	13768	-175.96
3474.29	-13612	-1050	13650	-175.49
3475.96	-13653	-1104	13836	-175.25
3477.56	-14127	-1199	14318	-175.18
3479.04	-14238	-1170	14161	-175.30
3480.93	-13969	-1184	13972	-175.31
3482.38	-13861	-1051	13846	-175.75
3484.08	-13769	-975	13819	-176.33
3485.68	-13818	-909	13829	-175.85
3487.12	-13682	-1061	13689	-175.35
3489.05	-13755	-1110	13860	-175.74
3490.57	-13686	-969	13542	-175.88
3492.17	-13468	-1027	13565	-175.50
3493.88	-13499	-998	13526	-176.19
3495.34	-13717	-948	13897	-175.77
3497.20	-13847	-1155	13833	-174.49
3498.82	-13734	-1399	13711	-174.56
3500.29	-13528	-1300	13714	-174.6
3501.97	-14027	-1390	14238	-175.36
3503.46	-14051	-1026	13926	-175.1
3505.11	-13651	-1404	13665	-174.36
3507.17	-13729	-1200	13903	-175.51
3508.66	-13921	-1034	13900	-175.61
3510.37	-13756	-1103	13737	-175.5
3511.76	-13665	-1248	13756	-175.35
3513.41	-13817	-947	13831	-176.28
3515.21	-13573	-896	13635	-176.34
3516.73	-13976	-791	14148	-177.15
3518.41	-13980	-921	13722	-174.99
3519.99	-13345	-1251	13360	-175.2
3521.47	-13534	-939	13755	-176.58
3523.42	-13802	-970	13789	-175.55
3524.91	-13682	-958	13737	-176.65
3526.56	-13876	-848	13995	-175.65
3528.24	-13877	-1108	13804	-175.70
3529.73	-13725	-1029	13750	-176.1
3531.61	-13592	-818	13529	-176.33
3533.10	-13454	-931	13560	-176.12
3534.73	-13749	-964	13854	-175.68
3536.40	-13797	-1032	13882	-176.27
3537.94	-13954	-842	13921	-175.96
3539.88	-13655	-1152	13574	-174.72
3541.51	-13481	-1317	13557	-174.12
3542.98	-13530	-1364	13694	-174.94
3544.65	-13744	-1080	13731	-175.70
3546.16	-13630	-1009	13758	-175.81
3547.81	-13969	-971	14084	-176.27
3549.62	-13934	-952	13855	-175.68
3551.11	-13807	-1160	13919	-175.9
3552.79	-13798	-1119	13745	-175.68
3554.28	-13671	-989	13712	-175.62
3555.91	-13779	-1151	13886	-175.34
3557.80	-13734	-1074	13694	-175.4
3559.33	-13637	-1346	13685	-174.87
3561.00	-13593	-921	13600	-176.82
3562.64	-13464	-909	13491	-175.24
3564.14	-13706	-1121	13946	-176.40
3565.93	-13874	-835	13763	-176.18
3567.47	-13685	-928	13770	-176.12
3569.10	-13689	-1051	13667	-175.3
3570.80	-13654	-1095	13754	-177.2
3572.29	-13903	-549	14054	-177.12
3574.33	-14096	-794	13965	-176.74
3575.85	-13735	-878	13823	-175.55
3577.50	-13979	-1212	13994	-174.92
3579.20	-13739	-1136	13701	-175.74
3580.76	-13526	-954	13526	-176.20
3582.47	-13567	-871	13631	-176.22
3584.14	-13594	-964	13591	-175.53
3585.62	-13460	-1147	13490	-175.10
3587.32	-13428	-1055	13459	-175.68
3588.79	-13557	-1050	13722	-175.61
3590.40	-13740	-1081	13773	-175.56
3592.33	-13588	-1012	13499	-175.44
3593.84	-13425	-1191	13490	-174.80
3595.52	-13619	-1230	13865	-175.22
3596.96	-13748	-1080	13678	-175.12
3598.63	-13682	-1234	13770	-175.40
3600.49	-13645	-1028	13675	-175.42
3601.98	-13639	-1092	13650	-175.69
3603.71	-13583	-1045	13588	-175.5
3605.38	-13514	-1237	13665	-174.89
3606.88	-13825	-1183	13886	-175.19
3609.08	-13655	-1204	13672	-175.15
3610.57	-13704	-1020	13771	-176.6
3612.26	-13651	-974	13618	-176.0
3613.92	-13568	-758	13542	-176.99
3615.42	-13490	-914	13586	-175.16
3617.24	-13594	-1229	13574	-174.92
3618.96	-13354	-1121	13375	-175.78
3620.42	-13489	-988	13641	-175.25
3622.08	-13547	-1209	13487	-174.96
