3427.79	-6596	-6558	9265	-134.90
3428.17	-6512	-6538	9257	-135.8
3428.64	-6617	-6580	9330	-135.24
3429.11	-6598	-6528	9270	-135.37
3429.53	-6594	-6540	9292	-134.94
3429.98	-6550	-6589	9267	-135.15
3430.46	-6562	-6438	9200	-135.45
3430.94	-6631	-6605	9448	-135.60
3431.37	-6862	-6583	9547	-136.98
3431.64	-7034	-6525	9626	-137.39
3432.10	-7103	-6494	9609	-137.70
3432.52	-7029	-6397	9385	-136.84
3433.04	-6688	-6466	9311	-134.79
3433.68	-6514	-6604	9162	-134.7
3434.12	-6234	-6478	8953	-133.63
3434.57	-6196	-6503	8979	-133.31
3435.03	-6041	-6511	8805	-132.12
3435.53	-5843	-6509	8705	-131.23
3435.79	-5615	-6498	8503	-130.2
3436.21	-5317	-6440	8234	-127.83
3436.67	-4891	-6531	8082	-124.65
3437.15	-4324	-6604	7636	-118.27
3437.63	-3126	-6598	7057	-106.69
3438.12	-1325	-6658	6670	-86.24
3438.59	1493	-6620	7193	-63.35
3439.04	3769	-6835	7792	-67.26
3439.30	1710	-6893	6884	-107.33
3439.72	-4560	-6858	9991	-142.31
3440.18	-10589	-6751	14425	-154.82
3440.63	-15521	-6505	18159	-159.89
3441.13	-17700	-6373	18447	-159.30
3442.03	-15891	-6309	16042	-155.88
3442.51	-13197	-6311	13614	-150.81
3442.99	-10581	-6369	11684	-145.75
3443.47	-9116	-6442	10928	-143.41
3443.74	-8538	-6469	10590	-141.89
3444.20	-8195	-6516	10406	-141.19
3444.64	-8027	-6475	10239	-140.58
3445.10	-7813	-6500	10130	-139.87
3445.62	-7721	-6529	10068	-139.49
3446.13	-7542	-6478	9867	-138.85
3446.57	-7299	-6499	9692	-137.35
3447.03	-7053	-6497	9547	-137.27
3447.48	-6933	-6456	9406	-136.47
3447.80	-6774	-6494	9425	-136.38
3448.24	-6945	-6553	9621	-137.19
3448.72	-7147	-6568	9780	-137.93
3449.16	-7337	-6663	9952	-137.83
3449.89	-7431	-6617	9946	-138.74
3450.37	-7435	-6582	9901	-137.77
3450.82	-7231	-6653	9779	-136.81
3451.32	-7109	-6700	9751	-136.99
3451.59	-7122	-6541	9667	-137.62
3452.07	-7115	-6551	9629	-136.88
